,Slot_id,Key,Date_Sin,Slot_Timeint,Covid,Time_Int,Ilegality_Rate,Holidays,Capacity,Week_Day_Sin,Month_Sin
0,10,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6466782407407408,0.7777777777777778,0,6,-0.900968867902419,0.8660254037844387
1,11,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6529513888888889,0.5833333333333334,0,18,-0.900968867902419,0.8660254037844387
2,17182,2018-01-03 08:00,0.5712682150947923,0.3541666666666667,0,0.3375,1.0,0,18,-0.900968867902419,0.8660254037844387
3,17182,2018-01-03 11:00,0.5712682150947923,0.4791666666666667,0,0.46314814814814814,0.875,0,18,-0.900968867902419,0.8660254037844387
4,17182,2018-01-03 16:00,0.5712682150947923,0.6875,0,0.6817476851851851,0.78125,0,18,-0.900968867902419,0.8660254037844387
5,17222,2018-01-03 16:00,0.5712682150947923,0.6875,0,0.6756944444444445,1.0,0,2,-0.900968867902419,0.8660254037844387
6,17254,2018-01-03 09:00,0.5712682150947923,0.3958333333333333,0,0.3983333333333333,0.7692307692307693,0,21,-0.900968867902419,0.8660254037844387
7,17254,2018-01-03 12:00,0.5712682150947923,0.5208333333333334,0,0.5027777777777778,0.4,0,21,-0.900968867902419,0.8660254037844387
8,17254,2018-01-03 16:00,0.5712682150947923,0.6875,0,0.6848148148148148,0.8571428571428571,0,21,-0.900968867902419,0.8660254037844387
9,17322,2018-01-03 09:00,0.5712682150947923,0.3958333333333333,0,0.4023148148148148,1.0,0,6,-0.900968867902419,0.8660254037844387
10,17361,2018-01-03 08:00,0.5712682150947923,0.3541666666666667,0,0.3438425925925926,0.8571428571428571,0,21,-0.900968867902419,0.8660254037844387
11,17361,2018-01-03 11:00,0.5712682150947923,0.4791666666666667,0,0.4640740740740741,0.7333333333333333,0,21,-0.900968867902419,0.8660254037844387
12,17361,2018-01-03 16:00,0.5712682150947923,0.6875,0,0.671400462962963,0.7878787878787878,0,21,-0.900968867902419,0.8660254037844387
13,17361,2018-01-04 11:00,0.72479278722912,0.4791666666666667,0,0.4927314814814815,0.6363636363636364,0,21,-0.9009688679024191,0.8660254037844387
14,17361,2018-01-04 12:00,0.72479278722912,0.5208333333333334,0,0.5254861111111111,0.7142857142857143,0,21,-0.9009688679024191,0.8660254037844387
15,17413,2018-01-03 14:00,0.5712682150947923,0.6041666666666666,0,0.6227430555555555,0.25,0,7,-0.900968867902419,0.8660254037844387
16,17424,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.663425925925926,0.5,0,8,-0.900968867902419,0.8660254037844387
17,17472,2018-01-03 09:00,0.5712682150947923,0.3958333333333333,0,0.3918055555555556,1.0,0,5,-0.900968867902419,0.8660254037844387
18,17472,2018-01-03 11:00,0.5712682150947923,0.4791666666666667,0,0.49756944444444445,0.5,0,5,-0.900968867902419,0.8660254037844387
19,17472,2018-01-04 12:00,0.72479278722912,0.5208333333333334,0,0.5161689814814815,0.5714285714285714,0,5,-0.9009688679024191,0.8660254037844387
20,17622,2018-01-03 08:00,0.5712682150947923,0.3541666666666667,0,0.34988425925925926,1.0,0,16,-0.900968867902419,0.8660254037844387
21,17622,2018-01-03 11:00,0.5712682150947923,0.4791666666666667,0,0.47372685185185187,0.8333333333333334,0,16,-0.900968867902419,0.8660254037844387
22,17622,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6529166666666667,0.8275862068965517,0,16,-0.900968867902419,0.8660254037844387
23,17622,2018-01-04 11:00,0.72479278722912,0.4791666666666667,0,0.49722222222222223,1.0,0,16,-0.9009688679024191,0.8660254037844387
24,17644,2018-01-03 09:00,0.5712682150947923,0.3958333333333333,0,0.37994212962962964,0.875,0,19,-0.900968867902419,0.8660254037844387
25,17644,2018-01-03 11:00,0.5712682150947923,0.4791666666666667,0,0.49461805555555555,0.75,0,19,-0.900968867902419,0.8660254037844387
26,17644,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6590972222222222,0.6666666666666666,0,19,-0.900968867902419,0.8660254037844387
27,17644,2018-01-04 12:00,0.72479278722912,0.5208333333333334,0,0.5169212962962964,0.7894736842105263,0,19,-0.9009688679024191,0.8660254037844387
28,17742,2018-01-03 09:00,0.5712682150947923,0.3958333333333333,0,0.38333333333333336,0.8571428571428571,0,10,-0.900968867902419,0.8660254037844387
29,17742,2018-01-03 11:00,0.5712682150947923,0.4791666666666667,0,0.4943287037037037,0.4615384615384615,0,10,-0.900968867902419,0.8660254037844387
30,17742,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6564814814814814,0.6666666666666666,0,10,-0.900968867902419,0.8660254037844387
31,17742,2018-01-04 12:00,0.72479278722912,0.5208333333333334,0,0.5172453703703703,0.6666666666666666,0,10,-0.9009688679024191,0.8660254037844387
32,17813,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6306712962962963,0.4117647058823529,0,15,-0.900968867902419,0.8660254037844387
33,17963,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6362268518518519,0.1666666666666666,0,6,-0.900968867902419,0.8660254037844387
34,17972,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6398148148148148,0.3333333333333333,0,2,-0.900968867902419,0.8660254037844387
35,17972,2018-01-04 12:00,0.72479278722912,0.5208333333333334,0,0.5095833333333334,0.8,0,2,-0.9009688679024191,0.8660254037844387
36,18022,2018-01-03 08:00,0.5712682150947923,0.3541666666666667,0,0.3566666666666667,0.9,0,18,-0.900968867902419,0.8660254037844387
